日期,天數,起點 → 終點,預計純車程時間,主要活動與景點,住宿地點
02/23,D1,抵達基督城 (13:50),約 30 分鐘,機場取車，飯店休息。,Christchurch (1/12)
02/24,D2,基督城 → Tekapo,3.5 小時,下午：Mt John 觀景，好牧羊人教堂。晚上：觀星。,Tekapo (2/12)
02/25,D3,Tekapo → 庫克山,1.5 小時,下午：健行 Hooker Valley Track。,Mt Cook Village (3/12)
02/26,D4,庫克山 → 庫克山,0 小時,冰川緩衝日： Tasman Glacier 直升機冰川健行 (Heli-Hike)。,Mt Cook Village (4/12)
02/27,D5,庫克山 → Dunedin,4 小時,長途駕駛日 A： 早上出發。經摩拉奇圓石。傍晚：皇家信天翁中心觀賞。,Dunedin (5/12)
02/28,D6,Dunedin → Queenstown,4 小時,長途駕駛日 B： 早上：但尼丁市區。中午：長途驅車前往皇后鎮。,Queenstown (6/12)
03/01,D7,Queenstown (米佛峽灣),(旅行社巴士往返約 13 小時),核心活動日： 米佛峽灣一日遊 (巴士+遊船)。,Queenstown (7/12)
03/02,D8,Queenstown (活動日1),依活動地點 (短程),活動密集日 A： 早上：參加半日泛舟 (Rafting)。下午：纜車山頂玩溜溜車 (Luge)。,Queenstown (8/12)
03/03,D9,Queenstown (活動日2),依活動地點 (短程),活動密集日 B： 早上：騎馬活動。下午：鹿園高地 (Deer Park Heights) 自駕觀景。,Queenstown (9/12)
03/04,D10,Queenstown → Greymouth,7 - 7.5 小時,[!!! 極限駕駛日 C !!!] 需早上 7:30 前出發。Wanaka (Wanaka Tree 拍照)。經 Haast Pass 景觀公路前往 Greymouth。Hokitika Gorge 需視時間決定是否跳過。,Greymouth (10/12)
03/05,D11,Greymouth → Christchurch,4 小時,回程日： 早上：從 Greymouth 北上 30 分鐘至 Punakaiki 薄餅岩參觀。中午：驅車經亞瑟山口景觀公路回基督城。提早抵達基督城。,Christchurch (11/12)
03/06,D12,基督城 → Kaikoura → 基督城,5 小時 (單趟 2.5h),核心活動日： 凱庫拉賞鯨（一日來回行程）。,Christchurch (12/12)
03/07,D13,基督城 → 機場,約 30 分鐘,早上：悠閒前往機場。歸還租車。,機上 (14:20 離境)